"State","Measure ID","Measure Name","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Start Date","End Date","Number of Hospitals Fewer","Number of Hospitals Average","Number of Hospitals More","Number of Hospitals Too Small"
AK,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,0,4,0,12
AK,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,1,9,1,9
AK,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,3,11,0,7
AK,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Not Available,Not Available,Not Available,Not Available,4,07/01/2024,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,7,0,6,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,8,0,6,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,8,0,6,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,2,5,0,1,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,4,0,11,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_CABG,Rate of readmission for CABG,0,1,0,2,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,8,0,13,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,9,0,9,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,4,0,5,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,14,0,7,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,0,25,0,42
AL,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,2,51,5,28
AL,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,3,66,3,16
AL,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Not Available,Not Available,Not Available,Not Available,4,07/01/2024,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,65,0,7,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,16,0,36,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,16,0,36,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,43,1,22,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,33,0,36,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,READM_30_CABG,Rate of readmission for CABG,0,19,0,4,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,1,62,0,24,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1,64,0,23,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,1,33,0,12,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,76,0,12,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,0,22,0,32
AR,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,3,42,1,30
AR,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,6,49,5,17
AR,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Not Available,Not Available,Not Available,Not Available,4,07/01/2024,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,48,0,7,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,16,0,27,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,16,0,27,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,32,0,15,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,27,0,23,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,READM_30_CABG,Rate of readmission for CABG,1,10,0,5,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,41,0,32,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1,47,0,24,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,13,0,23,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,1,62,1,12,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2022,06/30/2025,Not Available,Not Available,Not Available,Not Available
AS,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2022,06/30/2025,Not Available,Not Available,Not Available,Not Available
AS,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2022,06/30/2025,Not Available,Not Available,Not Available,Not Available
AS,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Not Available,Not Available,Not Available,Not Available,5,07/01/2024,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",Not Available,Not Available,Not Available,Not Available,5,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,5,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,5,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,Not Available,Not Available,Not Available,Not Available,5,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Available,Not Available,5,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,Not Available,Not Available,Not Available,Not Available,5,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,0,37,0,22
AZ,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,2,50,2,22
AZ,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,2,63,1,16
AZ,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Not Available,Not Available,Not Available,Not Available,4,07/01/2024,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,49,0,7,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,23,0,36,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,23,0,36,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,2,50,1,7,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,42,0,18,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,READM_30_CABG,Rate of readmission for CABG,0,20,0,6,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,54,0,24,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,56,0,19,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,37,0,17,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,71,0,10,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,0,128,1,163
CA,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,7,234,13,62
CA,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,9,247,23,41
CA,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Not Available,Not Available,Not Available,Not Available,4,07/01/2024,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,187,2,62,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,9,97,0,117,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,3,102,1,117,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,2,181,10,83,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,185,0,107,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,READM_30_CABG,Rate of readmission for CABG,0,96,2,24,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,265,0,50,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,5,272,1,37,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,178,1,88,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,6,290,0,20,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,1,23,0,37
CO,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,8,41,0,32
CO,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,11,47,4,21
CO,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Not Available,Not Available,Not Available,Not Available,4,07/01/2024,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,58,0,8,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,31,1,34,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,31,0,34,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,2,54,0,16,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,35,1,25,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,READM_30_CABG,Rate of readmission for CABG,0,15,0,4,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,46,0,36,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,44,5,33,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,31,0,33,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,61,0,21,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,0,13,0,12
CT,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,0,26,0,2
CT,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,0,24,2,1
CT,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Not Available,Not Available,Not Available,Not Available,4,07/01/2024,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,26,0,0,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,19,0,7,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,18,1,7,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,23,2,0,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,16,0,10,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,READM_30_CABG,Rate of readmission for CABG,1,8,0,1,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,26,0,1,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,25,1,2,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,15,0,10,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,26,0,1,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,0,3,0,3
DC,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,0,6,1,0
DC,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,0,5,2,0
DC,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Not Available,Not Available,Not Available,Not Available,4,07/01/2024,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,6,0,0,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,1,2,0,2,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,3,0,2,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,5,0,1,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,5,0,2,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,READM_30_CABG,Rate of readmission for CABG,0,2,0,0,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,7,0,0,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,7,0,0,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,5,0,2,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,7,0,0,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,0,4,0,3
DE,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,0,7,0,0
DE,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,1,6,0,0
DE,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Not Available,Not Available,Not Available,Not Available,4,07/01/2024,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,6,0,0,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,5,0,1,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,5,0,1,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,5,1,0,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,6,0,1,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,READM_30_CABG,Rate of readmission for CABG,0,3,0,0,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,7,0,0,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,7,0,0,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,1,0,5,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,7,0,0,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,0,117,3,57
FL,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,1,171,2,16
FL,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,3,167,11,10
FL,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Not Available,Not Available,Not Available,Not Available,4,07/01/2024,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",1,148,0,24,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,3,39,0,108,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,40,2,108,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,4,146,6,15,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,141,0,35,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,READM_30_CABG,Rate of readmission for CABG,1,72,0,8,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,1,175,0,14,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,2,173,1,13,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,121,0,41,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,1,180,1,8,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,0,50,1,46
GA,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,5,74,7,42
GA,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,10,73,15,32
